"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"ex1_1.nlogo"
"Simple MIS"
"04/26/2024 17:29:44:560 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","number-of-nodes","circle-layout?","mode","edge-factor","[step]","msg","bits","max [reps] of turtles"
"114","150","true","Simple MIS","7","73","7256","7256","73"
"112","550","true","Biology inspired Enhanced","3","6","2564","2564","6"
"108","550","true","Biology inspired","3","1","2210","2210","10"
"117","50","true","Luby's","7","4","1663","9386","4"
"115","300","true","Simple MIS","7","47","17578","17578","47"
"116","550","true","Simple MIS","7","67","28319","28319","67"
"118","150","true","Luby's","7","6","7378","53334","6"
"121","50","true","Biology inspired","7","1","206","206","6"
"119","300","true","Luby's","7","5","13203","108645","5"
"122","150","true","Biology inspired","7","1","770","770","8"
"123","300","true","Biology inspired","7","1","1598","1598","9"
"125","50","true","Biology inspired Enhanced","7","10","292","292","10"
"126","150","true","Biology inspired Enhanced","7","5","874","874","5"
"127","300","true","Biology inspired Enhanced","7","12","1814","1814","12"
"120","550","true","Luby's","7","6","25051","228046","6"
"129","50","true","Simple MIS","15","28","4436","4436","28"
"128","550","true","Biology inspired Enhanced","7","5","3376","3376","5"
"130","150","true","Simple MIS","15","165","14551","14551","165"
"131","300","true","Simple MIS","15","74","28957","28957","74"
"133","50","true","Luby's","15","3","3342","18862","3"
"134","150","true","Luby's","15","5","12702","91820","5"
"124","550","true","Biology inspired","7","1","3120","3120","10"
"135","300","true","Luby's","15","6","24942","205243","6"
"137","50","true","Biology inspired","15","1","288","288","6"
"138","150","true","Biology inspired","15","1","842","842","8"
"139","300","true","Biology inspired","15","1","2075","2075","9"
"132","550","true","Simple MIS","15","123","53459","53459","123"
"141","50","true","Biology inspired Enhanced","15","2","378","378","2"
"142","150","true","Biology inspired Enhanced","15","5","1437","1437","5"
"136","550","true","Luby's","15","7","66568","605988","7"
"143","300","true","Biology inspired Enhanced","15","5","2097","2097","5"
"145","50","true","Simple MIS","3","54","1038","1038","54"
"146","150","true","Simple MIS","3","38","5518","5518","38"
"147","300","true","Simple MIS","3","30","7280","7280","30"
"140","550","true","Biology inspired","15","1","3602","3602","10"
"149","50","true","Luby's","3","4","959","5412","4"
"150","150","true","Luby's","3","6","2980","21542","6"
"148","550","true","Simple MIS","3","66","16922","16922","66"
"151","300","true","Luby's","3","7","8598","70751","7"
"153","50","true","Biology inspired","3","1","214","214","6"
"154","150","true","Biology inspired","3","1","587","587","8"
"152","550","true","Luby's","3","7","13283","120919","7"
"155","300","true","Biology inspired","3","1","1262","1262","9"
"157","50","true","Biology inspired Enhanced","3","3","239","239","3"
"144","550","true","Biology inspired Enhanced","15","6","4631","4631","6"
"158","150","true","Biology inspired Enhanced","3","6","662","662","6"
"159","300","true","Biology inspired Enhanced","3","7","1374","1374","7"
"161","50","true","Simple MIS","7","21","1660","1660","21"
"162","150","true","Simple MIS","7","48","4149","4149","48"
"160","550","true","Biology inspired Enhanced","3","10","2571","2571","10"
"163","300","true","Simple MIS","7","66","15692","15692","66"
"165","50","true","Luby's","7","5","3276","18489","5"
"166","150","true","Luby's","7","5","8973","64864","5"
"156","550","true","Biology inspired","3","1","2266","2266","10"
"167","300","true","Luby's","7","7","15497","127522","7"
"169","50","true","Biology inspired","7","1","200","200","6"
"164","550","true","Simple MIS","7","92","37360","37360","92"
"170","150","true","Biology inspired","7","1","844","844","8"
"171","300","true","Biology inspired","7","1","1551","1551","9"
"173","50","true","Biology inspired Enhanced","7","1","263","263","1"
"174","150","true","Biology inspired Enhanced","7","7","909","909","7"
"175","300","true","Biology inspired Enhanced","7","12","1838","1838","12"
"168","550","true","Luby's","7","6","27286","248392","6"
"177","50","true","Simple MIS","15","101","4190","4190","101"
"178","150","true","Simple MIS","15","73","17503","17503","73"
"176","550","true","Biology inspired Enhanced","7","6","3706","3706","6"
"172","550","true","Biology inspired","7","1","3137","3137","10"
"181","50","true","Luby's","15","5","3169","17885","5"
"182","150","true","Luby's","15","7","11973","86551","7"
"179","300","true","Simple MIS","15","229","24233","24233","229"
"183","300","true","Luby's","15","8","29484","242618","8"
"185","50","true","Biology inspired","15","1","200","200","6"
"186","150","true","Biology inspired","15","1","1042","1042","8"
"180","550","true","Simple MIS","15","195","52673","52673","195"
"187","300","true","Biology inspired","15","1","1995","1995","9"
"189","50","true","Biology inspired Enhanced","15","4","304","304","4"
"190","150","true","Biology inspired Enhanced","15","3","1254","1254","3"
"184","550","true","Luby's","15","7","51377","467700","7"
"191","300","true","Biology inspired Enhanced","15","6","2429","2429","6"
"193","50","true","Simple MIS","3","16","1325","1325","16"
"194","150","true","Simple MIS","3","68","3892","3892","68"
"188","550","true","Biology inspired","15","1","3474","3474","10"
"195","300","true","Simple MIS","3","39","10302","10302","39"
"197","50","true","Luby's","3","5","977","5514","5"
"198","150","true","Luby's","3","5","3409","24643","5"
"199","300","true","Luby's","3","6","7156","58885","6"
"196","550","true","Simple MIS","3","81","15090","15090","81"
"201","50","true","Biology inspired","3","1","227","227","6"
"202","150","true","Biology inspired","3","1","684","684","8"
"200","550","true","Luby's","3","6","12936","117760","6"
"192","550","true","Biology inspired Enhanced","15","8","4575","4575","8"
"205","50","true","Biology inspired Enhanced","3","2","252","252","2"
"206","150","true","Biology inspired Enhanced","3","5","708","708","5"
"203","300","true","Biology inspired","3","1","1175","1175","9"
"207","300","true","Biology inspired Enhanced","3","7","1331","1331","7"
"209","50","true","Simple MIS","7","110","2621","2621","110"
"210","150","true","Simple MIS","7","60","6464","6464","60"
"208","550","true","Biology inspired Enhanced","3","7","2548","2548","7"
"211","300","true","Simple MIS","7","66","19131","19131","66"
"213","50","true","Luby's","7","4","1602","9041","4"
"204","550","true","Biology inspired","3","1","2308","2308","10"
"214","150","true","Luby's","7","4","5616","40597","4"
"215","300","true","Luby's","7","5","12180","100227","5"
"217","50","true","Biology inspired","7","1","269","269","6"
"212","550","true","Simple MIS","7","91","25025","25025","91"
"218","150","true","Biology inspired","7","1","818","818","8"
"219","300","true","Biology inspired","7","1","1511","1511","9"
"221","50","true","Biology inspired Enhanced","7","4","322","322","4"
"222","150","true","Biology inspired Enhanced","7","3","889","889","3"
"216","550","true","Luby's","7","8","28171","256449","8"
"223","300","true","Biology inspired Enhanced","7","4","1856","1856","4"
"225","50","true","Simple MIS","15","14","3338","3338","14"
"226","150","true","Simple MIS","15","53","15991","15991","53"
"224","550","true","Biology inspired Enhanced","7","7","3379","3379","7"
"220","550","true","Biology inspired","7","1","2982","2982","10"
"229","50","true","Luby's","15","3","3457","19511","3"
"230","150","true","Luby's","15","6","10683","77225","6"
"227","300","true","Simple MIS","15","45","26018","26018","45"
"231","300","true","Luby's","15","5","23246","191287","5"
"233","50","true","Biology inspired","15","1","270","270","6"
"234","150","true","Biology inspired","15","1","890","890","8"
"235","300","true","Biology inspired","15","1","2222","2222","9"
"228","550","true","Simple MIS","15","156","61926","61926","156"
"237","50","true","Biology inspired Enhanced","15","2","479","479","2"
"238","150","true","Biology inspired Enhanced","15","4","1066","1066","4"
"232","550","true","Luby's","15","7","46893","426880","7"
"239","300","true","Biology inspired Enhanced","15","4","2369","2369","4"
"241","50","true","Simple MIS","3","46","746","746","46"
"242","150","true","Simple MIS","3","47","3308","3308","47"
"243","300","true","Simple MIS","3","106","9856","9856","106"
"244","550","true","Simple MIS","3","55","16521","16521","55"
"245","50","true","Luby's","3","5","1031","5819","5"
"246","150","true","Luby's","3","4","3328","24058","4"
"247","300","true","Luby's","3","6","7672","63131","6"
"236","550","true","Biology inspired","15","1","3670","3670","10"
